0.31249,-25.004
0.31248,-21.623
0.31248,-18.7
0.31247,-16.172
0.31246,-13.987
0.31245,-12.097
0.31244,-10.463
0.31241,-9.0505
0.31238,-7.8294
0.31234,-6.7739
0.31229,-5.8616
0.31222,-5.0734
0.31213,-4.3924
0.312,-3.8044
0.31183,-3.2968
0.31161,-2.859
0.31135,-2.536
0.3113,-2.4816
0.31089,-2.1568
0.31034,-1.8776
0.30959,-1.6382
0.30857,-1.4334
0.30718,-1.2591
0.30526,-1.1116
0.30261,-0.98776
0.2989,-0.88515
0.29362,-0.80172
0.28601,-0.73587
0.2798,-0.70413
0.27483,-0.68637
0.27104,-0.67587
0.26568,-0.66423
0.24875,-0.64226
0.22902,-0.63076
0.20661,-0.62529
0.1817,-0.62295
0.15457,-0.62179
0.12555,-0.6204
0.11594,-0.61974
0.095042,-0.61777
0.076923,-0.61538
0.063499,-0.61315
0.031397,-0.60602
-0.00075913,-0.59601
-0.032453,-0.58291
-0.063171,-0.56662
-0.09241,-0.54717
-0.11969,-0.52467
-0.14458,-0.49932
-0.16667,-0.4714
-0.18561,-0.44127
-0.20113,-0.40931
-0.21301,-0.37598
-0.22109,-0.34174
-0.22533,-0.3071
-0.22573,-0.27256
-0.22239,-0.23862
-0.21547,-0.20575
-0.20525,-0.17443
-0.19204,-0.14506
-0.17625,-0.118
-0.15836,-0.093563
-0.13891,-0.071972
-0.11847,-0.053378
-0.09771,-0.037844
-0.077293,-0.025339
-0.068032,-0.020483
-0.057928,-0.015733
-0.050825,-0.01273
-0.03792,-0.0079806
-0.028285,-0.0050386
-0.021102,-0.0031992
-0.015749,-0.0020403
-0.011758,-0.0013056
-0.010047,-0.0010276
-0.0087818,-0.0008376
-0.0065606,-0.00053843
-0.0049023,-0.00034663
-0.0036638,-0.0002234
-0.0027386,-0.0001441
-0.0020472,-9.3011e-05
-0.0015305,-6.0062e-05
-0.0011443,-3.8799e-05
-0.00085561,-2.507e-05
-0.00063976,-1.6203e-05
-0.00047838,-1.0473e-05
-0.00035771,-6.7703e-06
-0.00026749,-4.3771e-06
-0.00020002,-2.83e-06
-0.0001,-1.0003e-06
-2e-06,-2.8284e-09
-1e-06,-1e-09
-1e-08,-1e-12
-2e-10,-2.8284e-15
-1e-10,-1e-15
-1e-12,-1e-18
-1e-14,-1e-21
-2e-16,-2.8284e-24
-1e-16,-1e-24
-1e-18,-1e-27
-1e-20,-1e-30
-1e-22,-1e-33
-2e-24,-2.8282e-36
-1e-24,-1.0002e-36
-1e-26,-1.0049e-39
-1e-28,-9.8924e-43
-1e-30,-1.0106e-45
-1e-32,-1.2246e-48
-2e-34,-2.4493e-50
-1e-34,-1.2246e-50
-1e-36,-1.2246e-52
-1e-38,-1.2246e-54
-1e-40,-1.2246e-56
