0,0,-0.75,1.199,-0.75,-1.199
-0.080135,0,-0.70993,1.3199,-0.70993,-1.3199
-0.085947,0,-0.70703,1.3298,-0.70703,-1.3298
-0.092104,0,-0.70395,1.3406,-0.70395,-1.3406
-0.098616,0,-0.70069,1.3521,-0.70069,-1.3521
-0.10549,0,-0.69726,1.3646,-0.69726,-1.3646
-0.11272,0,-0.69364,1.3781,-0.69364,-1.3781
-0.12032,0,-0.68984,1.3926,-0.68984,-1.3926
-0.12829,0,-0.68586,1.4082,-0.68586,-1.4082
-0.13661,0,-0.6817,1.4251,-0.6817,-1.4251
-0.14528,0,-0.67736,1.4432,-0.67736,-1.4432
-0.15428,0,-0.67286,1.4627,-0.67286,-1.4627
-0.16361,0,-0.6682,1.4837,-0.6682,-1.4837
-0.17323,0,-0.66339,1.5061,-0.66339,-1.5061
-0.18311,0,-0.65844,1.5303,-0.65844,-1.5303
-0.19324,0,-0.65338,1.5561,-0.65338,-1.5561
-0.20358,0,-0.64821,1.5837,-0.64821,-1.5837
-0.21409,0,-0.64296,1.6133,-0.64296,-1.6133
-0.22472,0,-0.63764,1.6449,-0.63764,-1.6449
-0.23545,0,-0.63228,1.6785,-0.63228,-1.6785
-0.24622,0,-0.62689,1.7144,-0.62689,-1.7144
-0.25699,0,-0.6215,1.7526,-0.6215,-1.7526
-0.26773,0,-0.61614,1.7932,-0.61614,-1.7932
-0.27838,0,-0.61081,1.8363,-0.61081,-1.8363
-0.2889,0,-0.60555,1.8819,-0.60555,-1.8819
-0.29926,0,-0.60037,1.9303,-0.60037,-1.9303
-0.30943,0,-0.59528,1.9815,-0.59528,-1.9815
-0.31937,0,-0.59032,2.0357,-0.59032,-2.0357
-0.32905,0,-0.58548,2.0928,-0.58548,-2.0928
-0.33844,0,-0.58078,2.1531,-0.58078,-2.1531
-0.34754,0,-0.57623,2.2166,-0.57623,-2.2166
-0.35631,0,-0.57184,2.2835,-0.57184,-2.2835
-0.36476,0,-0.56762,2.3539,-0.56762,-2.3539
-0.37286,0,-0.56357,2.4279,-0.56357,-2.4279
-0.38061,0,-0.55969,2.5057,-0.55969,-2.5057
-0.38801,0,-0.55599,2.5873,-0.55599,-2.5873
-0.39507,0,-0.55247,2.673,-0.55247,-2.673
-0.40177,0,-0.54911,2.7628,-0.54911,-2.7628
-0.40813,0,-0.54593,2.8569,-0.54593,-2.8569
-0.41416,0,-0.54292,2.9555,-0.54292,-2.9555
-0.41985,0,-0.54007,3.0587,-0.54007,-3.0587
-0.42522,0,-0.53739,3.1668,-0.53739,-3.1668
-0.43029,0,-0.53486,3.2798,-0.53486,-3.2798
-0.43505,0,-0.53247,3.398,-0.53247,-3.398
-0.43953,0,-0.53024,3.5216,-0.53024,-3.5216
-0.44373,0,-0.52813,3.6507,-0.52813,-3.6507
-0.44767,0,-0.52617,3.7857,-0.52617,-3.7857
-0.45136,0,-0.52432,3.9266,-0.52432,-3.9266
-0.45481,0,-0.5226,4.0737,-0.5226,-4.0737
-0.45803,0,-0.52098,4.2273,-0.52098,-4.2273
-0.46104,0,-0.51948,4.3876,-0.51948,-4.3876
-0.4999,0,-0.50005,88.372,-0.50005,-88.372
-0.5,0,Inf,0,Inf,0
